No,food,makanan,kalori,lemak,karbohidrat,gula,protein,serat,kolesterol,natrium,air,vitamin_A,vitamin_B1,vitamin_B11,vitamin_B12,vitamin_B2,vitamin_B3,vitamin_B5,vitamin_B6,vitamin_C,vitamin_D,vitamin_E,vitamin_K,kalsium,zat_besi,magnesium,fosfor,kalium,zinc,kepadatan_nutrisi
1599,ranch flavor tortilla chips,keripik tortilla rasa peternakan,992,48.8,124.2,6,14.2,7.9,0,1,6.2,0,93,0,0,0.1,2.6,1.2,0.4,0,0,0,73,265.3,2.7,172.3,499,512.8,2.8,463.1
1600,potato chips,keripik kentang,161,10.4,15.9,7,2.1,1.4,0,21,0.6,0,86,45,0,6,1.1,1.3,0.2,9.3,0,2.7,0.02,7.2,0.5,20.1,49.5,382.5,0.3,46.8
1601,tortilla chips,keripik tortila,142,6.2,20.3,0.2,2.1,1.6,0,77,0.8,0.2,0,6,71,31,57,0.3,0.4,92,0,0,1.1,14,0.2,0.5,0,67.5,41,30.699
1602,sweet potato chips,keripik ubi jalar,149,9.1,15.9,2.5,0.8,2.5,0,0.05,1.3,0,13,88,0,69,0.6,0.4,0.1,0,0,2.7,0.08,16.5,0.6,18.2,40.6,259,0.1,45.4
1603,nacho cheese tortilla chips,keripik tortilla keju nacho,156,8.2,18.2,0.8,2.2,1.5,0,0.2,0.5,21,0.2,23,85,0,21,0.4,0.2,38,0.1,0,0,2,71,0.3,0.1,75.6,72,30.369
1604,vegetable chips,keripik sayur,134,6.6,17.1,1.1,1.5,1.3,0,0.3,1.8,0,19,2,0,25,0.8,0.1,0.2,1.4,0,1.4,27,14.7,0.4,15,36.8,237.2,0.1,43
1605,taco flavor tortilla chips,keripik tortilla rasa taco,1090,54.9,143.2,0,17.9,12,11.4,1.8,3.6,0,0.5,22,0,0.5,4.5,0.7,0.7,2,0,0,0,351.9,4.6,199.8,542.5,492.6,2.9,586.5
1606,potato chips barbecue,keripik kentang panggang,970,64.2,104.5,14,15.2,8.7,0,1.3,3.8,0,0.4,0.2,0,0.4,9.3,1.2,1.2,67.1,0,12.2,15,99,3.8,148.5,368.3,2496.8,1.9,362.5
1607,pita chips,keripik pita,137,4.6,20.5,1.4,3.5,1.1,0,0.3,0.6,33,0,0.2,42,0,77,2.1,0.2,39,0,0,2.1,51,65,1.4,0.2,37.2,3,29.893
1608,potato chips sour cream and onion,keripik kentang krim asam dan bawang,1051,67.1,102,0,16,10.3,13.9,1.1,3.6,73,0.4,0.1,79,0.4,8,1.6,1.3,73.9,0,0,0,142.6,3.2,146.5,348.5,2635.4,1.9,415.171
1609,adobo fresco,lukisan dinding adobo,780,60.2,53.6,5.8,5.8,3.7,0,49.4,63.6,0,0.1,94,0,37,1.4,0,0,16.7,0,7.7,88,354.2,9.2,66.2,109.4,538.6,0.7,503.4
1610,chili pepper sauce red,saus cabai merah,3,89,0.6,0.4,0.1,0.1,0,3,14.1,0,42,93,0,42,41,0,0.02,4.5,0,5,18,1.4,51,1.8,2.4,84.6,37,6.755
1611,creamy ranch sauce mcdonalds,saus ranch krim mcdonalds,132,14.7,1,1,0.3,0,5.9,0.2,11.7,0,9,0,7,75,9,21,6,0,0,1,0,8.2,39,0.8,8.5,22.1,71,24.274
1612,catsup,saus tomat,19,66,4.5,3.7,0.2,53,0,0.2,11.8,0,2,38,0,73,0.2,91,45,0.7,0,0.2,94,2.7,73,2.6,4.8,53.6,15,8.299
1613,chili pepper sauce green,saus cabai hijau,3,32,0.8,0.4,0.1,0.3,0,0.03,14.1,0,2,0.07,0,46,0.1,0,0.07,10.2,0,6,36,0.8,23,1.8,2.1,84.6,0.09,12.206
1614,red wine vinegar,cuka anggur merah,3,0,11,0,55,0,0,92,14.1,0,0,0,0,0,0,0,0,53,0,0,0,0.9,49,0.6,1.2,5.8,65,1.221
1615,fish sauce,saus ikan,6,13,0.7,0.7,0.9,0,0,1.4,12.8,58,52,43,47,31,0.4,86,93,12,0,0,0,7.7,0.1,31.5,1.3,51.8,57,9.498
1616,coleslaw dressing reduced fat,saus coleslaw rendah lemak,56,3.4,6.8,6.6,0,45,4.3,0.3,6.3,0,57,0,0.01,84,97,71,96,0,0,0.3,68,6.1,0.08,0.9,5.1,8.5,71,16.403
1617,sour dressing,saus asam,21,2,0.6,0.6,0.4,0,0.6,94,9,23,46,46,75,0.02,33,0.08,84,0.1,0,0.2,24,13.6,91,1.2,10.4,19.4,64,16.853
1618,guava sauce cooked,saus jambu biji matang,86,0.3,22.6,14,0.8,8.6,0,17,213.2,0,54,62,0,47,1,0,0.2,348.4,0,1.3,8,16.7,0.4,16.7,26.2,535.5,0.4,397.8
1619,pizza sauce,saus pizza,136,2.9,21.8,9.5,5.5,5,0,0.9,218.5,0,0,0.2,74,0,0.1,3.6,0.9,0.3,28.5,0,0,0,0.3,2.3,0.6,126,0,35.8
1620,sweetn sour sauce mcdonalds,saus asam manis mcdonalds,48,0.3,11,10,0.2,0,0,0.2,16.1,0,37,0,0,0.06,0.1,42,69,0.3,0,0.2,0,1.7,0.2,1.7,4.5,27.7,0.05,13.7
1621,nance syrup,sirup nance,4,2,0.8,0.6,28,0.3,0,35,2.8,0,35,0,0,84,69,0,12,0.4,0,0,0,1.6,13,0.6,0.3,7.2,0,3.227
1622,french dressing reduced fat,saus perancis rendah lemak,37,2.2,4.7,4.6,72,0.2,0,72,8.7,0,66,66,0,85,49,68,94,0,0,0.5,7,1.8,0.1,1.3,2.6,17.1,79,9.052
1623,peppercorn dressing,saus merica,76,8.2,0.5,0.3,0.2,0,6.6,0.1,4.3,91,0,12,17,0,0,0,0.02,0.09,89,0.6,49,2.9,55,0.3,3.5,23.6,11,11.946
1624,sorghum syrup,sirup sorgum,61,0,15.7,15.7,0,0,0,96,4.8,0,0.03,0,0,51,0.02,0.2,0.1,0,0,0,0,31.5,0.8,21,11.8,210,46,48
1625,ranch dressing fat free,saus ranch bebas lemak,17,0.3,3.7,0.7,39,88,1,0.1,9.6,78,79,0.04,0,0.06,7,0.1,22,0,0,33,77,7,0.1,1.1,15.8,15.5,41,11.204
1626,caesar dressing low calorie,saus caesar rendah kalori,17,0.7,2.8,2.4,28,53,0.3,0.2,11,87,38,65,0,79,36,89,0,0,0,0.1,96,3.6,16,0.3,2.9,4.4,29,7.293
1627,sweet sour dressing,saus asam manis,2,0,0.6,0.6,82,0,0,65,15.3,0,73,57,0,0,17,91,0.04,1.3,0,0.4,73,0.6,78,0.5,0.5,5.3,99,2.587
1628,mayonnaise imitation fat free,mayones imitasi bebas lemak,13,0.4,2.5,1.6,43,0.3,1.4,0.1,12.6,0,0,0,0,29,0,0,0,0,0,0.04,23,1,8,0.3,0.8,7.8,37,4.313
1629,sofrito,sofrito,488,37.5,11.2,0,26.4,3.5,0,2.4,122.9,0,0.6,36,0,0.4,6,1.2,0.7,42,0,0,0,41.2,1.9,51.5,286.3,826.1,2.9,163.7
1630,turkey gravy instant,kuah kalkun instan,27,1,3.9,0.5,0.8,0.3,1.6,0.3,0.4,35,13,42,57,48,29,91,15,92,0,46,0.06,7.7,0.6,2,13.6,20.5,32,14.333
1631,teriyaki sauce,saus teriyaki,16,15,2.8,2.5,1.1,16,0,0.7,12.2,0,74,36,0,91,0.2,68,0.09,0,0,0,0,4.5,0.3,11,27.7,40.5,49,8.733
1632,tomato sauce,saus tomat,59,0.7,13,8.7,2.9,3.7,0,83,223.6,0,29,32,2,0,0.2,2.4,0.8,0.2,17.2,0,3.5,83,0.3,2.4,0.3,66.2,0.09,20.864
1633,barbecue sauce kraft,saus barbekyu kraft,28,53,6.5,5.2,0.1,32,0,0.2,8.7,0,69,0,0,1,73,0.09,2,31,0,0.1,0,7.5,0.1,2.4,3,39.5,6,14.388
1634,cranberry sauce sweetened,saus cranberry yang dimaniskan,418,0.4,107.8,105,0.6,2.8,0,76,168,0,0,33,0,93,0.3,0,29,5.5,0,2.3,75,11.1,0.6,8.3,16.6,72,0.1,128.8
1635,coleslaw dressing,saus coleslaw,62,5.3,3.8,3.2,0.1,24,4.2,0.1,6.4,32,21,55,79,78,0,49,17,0,57,0.5,0.01,2.2,0.01,0.3,4.2,1.4,62,11.62
1636,onion gravy dry,saus bawang kering,77,0.7,16.2,0,2.2,1.4,0.5,1,1,0,17,61,82,46,0.9,26,68,1.7,0,0,0,67.2,0.2,8.2,48.7,62.9,0.2,89.6
1637,corn syrup light,sirup jagung ringan,62,0.09,16.9,16.9,0,0,0,65,5,0,47,0,0,0,0,0,0,0,0,0,0,2.9,0,0.2,0,0.2,15,19.806
1638,bacon tomato dressing,saus tomat bacon,49,5.3,0.3,0.3,0.3,0.04,0.6,0.1,8.8,64,83,0,35,91,0.1,0,33,1.3,0,0.6,31,0.6,57,0.9,3.8,16.2,45,7.942
1639,pancake syrup,sirup panekuk,53,75,13.9,8.4,0,0,0,64,6,0,24,0,0,37,36,75,0,0,0,0,0,1,38,0.4,2,1.2,97,15.031
1640,balsamic vinegar,cuka balsamik,14,0,2.7,2.4,41,0,0,71,12.2,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0.1,1.9,3,17.9,33,7.129
1641,ranch dressing reduced fat,saus peternakan rendah lemak,29,1.9,3.2,0.6,0.2,0.2,2.4,0.2,9.3,22,49,81,0,98,44,0.1,18,51,0,0.2,12,6,0.1,0.9,29,19.8,35,11.727
1642,barbecue sauce mcdonalds,saus barbekyu mcdonalds,46,0.3,10.3,9.6,0.4,0.4,0,0.3,16.2,0,32,76,0,25,0.2,71,88,0,0,0.3,0,3.1,0.1,3.6,8.4,55.2,97,14.6
1643,vinegar oil dressing,saus minyak cuka,72,8,0.4,0.4,0,0,0,76,7.6,0,0,0,0,0,0,0,0,0,0,0.7,24,0,0,0,0,1.3,0,8.4
1644,poppyseed dressing,saus biji poppy,66,5.5,4,3.9,0.2,0.03,2.5,0.1,6.4,5,0.03,14,38,69,83,27,92,0.04,53,0.4,44,9.7,48,1.5,8.1,10.1,91,19.612
1645,honey mustard dressing,saus mustard madu,70,6.1,3.5,2.4,0.1,57,4.4,19,4.9,82,31,56,47,78,3,68,17,6,92,0.5,85,1.8,0.07,0.8,3.3,3,44,11.752
1646,french dressing fat free,saus perancis bebas lemak,21,24,5.1,2.6,0.01,0.4,0,0.1,10.4,0,0.04,27,0,0,72,71,0,0,0,32,17,0.8,81,0.5,0,13.4,0.01,6.399
1647,vinegar,cuka,3,0,89,63,0,0,0,24,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0.9,2,0.1,0.6,0.3,28,01.02
1648,spray dressing,semprotan pembalut,13,0.9,1.3,1.1,0.07,75,0,12,5.7,0,0,0,0,0,0,0,0,55,0,0,0,0.5,96,0,0,0,0,2.931
1649,honey mustard dressing fat free,saus mustard madu bebas lemak,25,0.2,5.8,2.7,0.2,0.2,0.2,0.2,8.4,0.01,77,49,0,19,93,1,39,0.3,0,0.1,18,3.6,53,2,5.6,10.4,61,10.426
1650,mushroom gravy,saus jamur,119,6.4,13,0,3,1,0,1.4,211.8,0,22,56,0,0.1,1.6,2.6,67,0,0,0,0,16.7,1.6,4.8,35.7,252.3,1.7,41.7
1651,white sauce,saus putih,368,26.6,22.9,11,9.6,0.5,17.5,0.9,187.2,0.3,0.2,18,55,0.5,1,0.8,0.1,2,12,0.7,34,295,0.8,35,245,390,1,357.7
1652,marinara pasta sauce,saus pasta marinara,129,3.9,19.9,14.5,3.7,4.8,5.3,1.1,230.7,0,21,62,0,0.2,10.3,0.2,0.5,5.3,0,6.3,42,71.3,2.1,47.5,89.8,842.2,0.5,111
1653,tomato sauce with mushrooms,saus tomat dengan jamur,86,0.3,20.7,14.1,3.6,3.7,0,1.1,215.5,0,0.2,16,0,0.3,3.1,0.9,0.3,30.4,0,4.7,49,31.9,2.2,46.6,78.4,931,0.5,92.8
1654,pork gravy powder,bubuk kuah daging babi,25,0.6,4.3,1.7,0.6,0.2,0.7,0.4,0.3,2,11,0.04,63,37,0.2,94,15,95,0,7,56,9.3,0.3,2.3,12.6,15.7,9,15.363
1655,beef gravy,kuah daging sapi,123,5.5,11.2,0.5,8.7,0.9,7,1.5,203.8,79,68,67,25,64,1.5,27,49,0,0,13,5,14,1.6,4.7,69.9,188.7,2.3,41.982
1656,green goddess dressing,saus dewi hijau,64,6.5,1.1,1,0.3,94,6,0.1,6.8,52,76,48,71,0.04,42,0,28,37,0,0.7,61,5.1,67,1.1,4.7,8.7,81,13.2
1657,salsa con queso,saus dengan keju,358,23.8,27.9,4.9,7.9,1.8,22.5,2,184.3,69,0.06,95,41,0.2,0.3,1.4,0.1,1,0,4.7,0.09,245,0.4,20,500,262.5,1,307.813
1658,cocktail sauce,saus koktail,19,0.2,4.2,1.8,0.2,0.3,0,0.2,9.9,2,78,66,0,69,0.1,33,42,1.7,0,0.2,14,3.9,0.1,2.6,4.5,46.4,86,10.667
1659,worcestershire sauce,saus worcestershire,13,0,3.3,1.7,0,0,0,0.2,13.4,36,23,9,0,51,0.1,0,0,2.2,0,36,42,18.2,0.9,2.2,10.2,136,23,24.673
1660,barbecue sauce,saus barbekyu,29,0.1,6.9,5.7,0.1,0.2,0,0.2,9.3,0,64,37,0,86,0.1,5,35,0.1,0,0.1,27,5.6,0.1,2.2,3.4,39.4,38,13.1
1661,tomato sauce with onions,saus tomat dengan bawang bombay,103,0.5,24.4,0,3.8,4.4,0,1.3,210.9,0,0.2,3,0,0.3,3,0.9,0.7,31.1,0,0,0,41.7,2.3,46.6,95.6,1011.9,0.6,108.2
1662,brown gravy dry,kuah coklat kering,22,0.6,3.6,0,0.6,0.1,0.2,0.3,0.3,33,13,29,11,39,0.2,59,61,48,0,0,0,7.9,0.1,2,12.2,15.7,13,13.021
1663,blue cheese dressing light,saus keju biru ringan,14,0.4,2.1,0.6,0.3,0,1.6,0.2,12.4,81,71,55,0.05,12,88,0,41,0,0,0.1,52,10.9,42,0.6,7.5,8.2,73,13.835
1664,spanish tomato sauce,saus tomat spanyol,81,0.7,17.7,0,3.5,3.4,0,1.2,217.4,0,0.2,53,0,0.2,3.2,0.7,0.4,21,0,0,0,41.5,8.5,46.4,117.1,900.4,0.8,96.3
1665,oyster sauce,saus tiram,9,66,2,0,0.2,24,0,0.5,14.4,0,89,5,0.05,49,0.3,9,23,36,0,0,0,5.8,69,0.7,4,9.7,22,8.095
1666,cheese sauce,saus keju,30,2.2,0.8,33,1.5,71,5.7,2,10,3,35,0.08,0,15,73,83,82,67,23,96,95,46.7,47,2.9,34.4,21.3,0.2,51.263
1667,hoisin sauce,saus hoisin,35,0.5,7.1,4.4,0.5,0.4,0.5,0.3,7.1,0,14,69,0,68,0.2,61,88,97,0,46,31,5.1,0.2,3.8,6.1,19,22,13.882
1668,pickle relish,acar,20,61,5.3,4.4,97,0.2,0,0.1,9.3,0,0,42,0,11,0.05,0.09,53,0.2,0,26,18,0.5,0.1,0.8,2.1,3.8,5,6.381
1669,tomato sauce with herbs cheese,saus tomat dengan keju herbal,144,4.7,25,0,5.2,5.4,7.3,1.3,203.6,0,0.2,35,0,0.3,2.9,0.7,8,24.4,0,0,0,90.3,2.1,46.4,131.8,868.6,0.9,157.1
1670,french dressing,saus perancis,73,7.2,2.5,2.6,0.1,0,0,0.1,5.8,0,0.02,0,15,0.02,91,0,0,0.6,0,0.8,65,3.8,0.1,0.8,3,10.7,84,14.3
1671,mayonnaise hellmanns,mayones hellmann,15,1.7,87,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.737
1672,canadian maple syrup,sirup maple kanada,76,0,19.1,17,0,0,0,86,9.1,0,13,0,0,0.4,62,0,0,0,0,0,0,30.8,88,5.9,0,63.7,0.2,49.95
1673,maple syrup,sirup maple,52,47,13.4,13.6,0.09,0,0,59,6.5,0,63,0,0,0.3,88,54,36,0,0,0,0,20.4,14,4.2,0.4,42.4,0.3,33.895
1674,barbecue sauce bulls eye,saus barbekyu bulls eye,27,0.1,6.4,5.6,0.1,0.2,0,0.2,8.8,0,3,0,0,85,0.1,53,0.05,94,0,0.1,0,6.9,0.1,2.6,3.5,42.1,41,13.891
1675,ranch dressing,saus peternakan,65,6.7,0.9,0.7,0.2,0,3.9,0.1,6.9,67,98,61,0.05,42,11,83,0.1,93,0,15,0.3,24,85,0.05,92,27.9,17,8.046
1676,tomato ketchup mp,saus tomat mp,15,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
1677,mayonnaise light,mayones ringan,36,3.3,1.4,0.5,32,0,2.4,0.1,9.9,3,6,82,94,0,0,73,0.09,0.09,0,0,0.3,0.05,39,58,56,2.3,61,4.966
1678,mayonnaise dressing,saus mayones,103,11.7,66,93,0,0,0,81,3.3,0,8,0,0,5,11,0,95,0,0,1.8,15,1.1,0,0.2,3.8,2.1,0.1,12.917
1679,malt syrup,sirup malt,67,0,15,15,1.3,0,0,0.05,4.4,0,99,91,0,95,1.7,95,0.1,0,0,0,0,12.8,0.2,15.1,49.6,67.2,48,29.3
1680,gravy dry,kuah kering,86,2,14.5,0,3.3,0,1,1.4,1,0,0.04,77,72,0.1,0.9,72,11,1.8,0,0,0,37.5,0.3,11.3,50.8,65.5,0.4,59.4
1681,cranberry orange relish,sambal cranberry jeruk,490,0.3,127.1,0,0.8,0,0,63,146.3,0,53,0,0,66,0.3,0,0,49.5,0,0,0,30.3,0.6,11,22,104.5,0,208.6
1682,caesar dressing,saus caesar,80,8.5,0.5,0.4,0.3,36,5.7,0.2,5,92,83,98,0,58,45,44,47,57,97,0.7,39,7.1,0.2,0.3,2.8,4.3,18,16.717
1683,italian dressing,saus italia,35,3.1,1.8,1.6,32,0,0,0.1,9.3,83,0,42,0,0,0,97,0,11,25,0,0.3,59,63,81,99,2.2,55,5.108
1684,brown gravy instant,saus coklat instan,25,0.8,4,0.6,0.6,0.2,0.8,0.3,0.4,0,18,33,81,0.03,0.2,33,42,0.1,0,0.05,26,7.8,0.5,2.1,14.2,24.6,87,14
1685,roquefort cheese dressing,saus keju roquefort,15,1.1,0.4,0.4,0.8,0,0.2,0.1,11.9,0,87,25,18,49,59,0,64,69,0,92,67,13.4,69,1.1,12.5,0.8,0.09,15.875
1686,blue cheese dressing,saus keju biru,71,7.7,0.7,0.5,0.2,45,4.7,0.2,6,48,56,72,49,94,0.05,31,26,0.1,71,0.6,36,5.6,58,1.2,11.1,13.2,55,14.429
1687,duck sauce,saus bebek,80,63,19.7,9.9,0.1,0.2,0,0.1,12.2,0,21,85,0,0.09,44,0,98,0.3,0,47,12,3.6,0.1,1.6,2.9,28.3,0.1,24.017
1688,au jus,aku hanya ingin,38,0.5,5.9,0,2.8,0,0,1.1,223,0,0.04,45,32,0.1,2.1,76,23,2.4,0,0,0,9.4,1.4,4.7,70.8,191.2,2.4,22.4
1689,corn syrup dark,sirup jagung hitam,57,0,15.5,15.5,0,0,0,47,4.4,0,25,0,0,45,71,13,62,0,0,0,0,3.6,44,1.6,2.2,8.8,69,19.122
1690,buttermilk dressing light,saus buttermilk ringan,30,1.9,3.2,0.6,0.2,0.2,2.4,0.2,9.3,23,59,52,0,12,51,0.1,85,61,0,0.2,26,6,0.1,0.9,29,19.8,2,11.699
1691,cider vinegar,cuka sari apel,3,0,0.1,18,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0.7,1.2,10.9,59,1.117
1692,tartar sauce,saus tartar,32,2.5,2,0.6,0.2,78,1.1,0.1,10.1,56,23,8,0,74,94,76,34,0.3,0,0.3,89,3.9,47,0.9,2.6,10.2,98,9.096
1693,pepper hot sauce,saus cabai,1,18,31,65,24,71,0,0.1,4.2,0,6,45,0,78,78,97,61,3.5,0,61,39,0.4,35,0.2,0.5,6.8,55,4.171
1694,tomato chili sauce,saus tomat cabai,6,95,1.2,0.6,0.2,0.4,0,83,4.1,0,21,33,0,28,43,0,86,1,0,0.1,25,1.2,87,0.7,3.1,22.2,82,4.085
1695,turkey gravy dry,kuah kalkun kering,26,0.5,4.6,0,0.7,0,1,0.3,0.3,13,26,87,45,11,0.2,29,0.03,15,0,0,0,10.2,0.2,3.1,17.8,30,0.01,16.335
1696,salsa sauce,saus salsa,5,39,1.2,0.7,0.3,0.3,0,0.1,16.1,0,37,55,0,92,0.2,0.07,21,0.3,0,0.2,67,5.4,7,2.7,5.9,49.5,0.08,7.524
1697,steak sauce,saus steak,16,4,3.7,1.7,0.2,0.3,0,0.3,12.1,0,0.01,44,0,81,0.2,0,36,1.2,0,0.2,15,3.2,0.2,2.9,5.6,53,0.02,8.815
1698,molasses,tetes,58,68,14.9,14.9,0,0,0,7,4.4,0,17,0,0,44,0.2,0.2,0.1,0,0,0,0,41,0.9,48.4,6.2,292.8,0.08,56.848
1699,italian dressing fat free,saus Italia bebas lemak,7,0.1,1.2,1.2,0.1,77,0.3,0.2,12,0,81,31,0.07,17,73,0,0,26,0,0.1,42,4.2,36,0.7,15.3,14.3,59,5.71
1700,plum sauce,saus plum,35,0.2,8.1,0,0.2,0.1,0,0.1,10.2,0,75,32,0,66,0.2,92,94,21,0,0,0,2.3,0.3,2.3,4.2,49.2,29,11.246
1701,chow mein stir fry master foods,tumis mie chow mein master foods,26,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
1702,beef gravy instant,kuah daging sapi instan,25,0.6,4.1,1.6,0.7,0.3,0.7,0.3,0.3,0.1,85,65,9,27,26,12,0.1,0.01,0,2,21,9.4,0.4,2.7,16,30.2,82,15.598
1703,horseradish,lobak pedas,2,85,0.6,0.4,3,0.2,0,39,4.3,0,0,56,52,0,0.02,37,48,81,1.2,0,12,27,52,0.04,62,1.6,16,1.133
1704,grenadine,buah delima,54,0,13.4,9.3,0,0,0,38,6.5,0,0,0,0,64,0,0,0,0,0,0,0,1.2,11,0.8,0.8,5.6,66,14.63
1705,tabasco sauce,saus tabasco,1,2,6,67,45,13,0,75,4.5,0,56,59,0,66,91,81,0,0.2,0,14,31,0.6,19,0.6,1.1,6,89,1.054
1706,sweet sour sauce,saus asam manis,26,84,6.7,3.3,0.02,65,0,24,10.5,0,48,79,0,0.08,26,21,0.09,1.5,0,0.1,2,1.8,21,1.4,1.2,17.3,72,10.183
1707,salsa verde,saus hijau,6,0.1,1,0.5,0.2,0.3,0,34,13.4,0,27,84,0,5,0.2,21,93,1.8,0,97,3,1.4,79,2.9,6.2,38.9,67,4.826
1708,miso,miso,40,1.2,5.1,1.2,2.6,1.1,0,0.7,8.6,0,0,82,63,45,0.06,0.2,15,0.04,0,0,65,94,46,0.5,0.2,31.8,92,10.193
1709,soy flour roasted,tepung kedelai sangrai,375,18.6,28.6,6.5,29.6,8.2,0,83,3.2,0,0.4,0.2,0,0.8,2.8,1,0.3,0,0,1.7,87,159.8,4.9,313.7,404.6,1734.9,3,249.7
1710,soy flour low fat,tepung kedelai rendah lemak,330,7.8,30.7,9.3,40,14.1,0,85,4.1,0,1,0.3,0,0.2,2.6,1.4,0.9,0,0,0.5,23,250.8,7.2,250.8,594,1839.2,3.6,350.6
1711,soy proteins isolate,isolat protein kedelai,96,1,2.1,0,22.8,1.6,0,0.3,1.4,0,37,0.01,0,85,0.4,79,6,0,0,0,0,50.4,4.1,11,219.6,22.9,1.1,82
1712,tofu yogurt,yogurt tahu,246,4.7,41.8,3.2,9.2,0.5,0,0.03,203.1,0,0,0.2,4,0,27,0.6,0,48,6.6,0,0.8,13,0.2,2.8,0,99.6,68,56.57
1713,bacon meatless,daging babi asap tanpa daging,446,42.5,9.1,0,15.4,3.7,0,2.1,70.5,0,6.3,47,0,0.7,10.9,0.2,0.7,0,0,9.9,0,33.1,3.5,27.4,100.8,244.8,0.6,107.3
1714,meatless chicken fried,ayam goreng tanpa daging,304,16.6,11.1,0,27.7,5.6,0,0.5,73.4,0,1.7,17,38,0.5,16.6,0,1.1,0,0,2.5,0,54.6,5,15.6,318.5,390,0.8,120.6
1715,soymilk,susu kedelai,109,4.8,8.4,6.1,7.1,1,0,0.1,221.1,0,0,0.2,7,61,0.5,8,0,0.6,17.5,69,6.1,0,0.3,1.2,0,0,99,22.2
1716,soy vermicelli,bihun kedelai,463,0.1,115.2,24.4,0.1,5.5,0,32,16.7,0,0,0,0,0,0,0,0,0,0,0.7,19,77,2.5,2.8,28,4.2,5.9,200.4
1717,tofu fried,tahu goreng,35,2.6,1.2,0.4,2.4,0.5,0,21,6.6,0,0,0.01,36,0,54,73,41,94,0,0,11,99,51,0.6,0.2,37.3,38,6.832
1718,tempeh,tempe,320,17.9,15.6,0,30.8,0,0,68,99,0,0.1,86,96,0.6,4.4,0.5,0.4,0,0,0,0,184.3,4.5,134.5,441.6,683.9,1.9,253.1
1719,koyadofu,koyadofu,81,5.2,1.7,0,8.9,1.2,0,81,1,0,0,21,78,0,41,0.2,11,29,0.1,0,0,0,0.2,1.7,0.6,82.1,0.04,17.237
1720,meatless meatloaf,daging cincang tanpa daging,110,5,4.5,0.7,11.8,2.6,0,0.3,32.5,0,0.5,66,62,0.3,5.6,0,0.7,0,0,1,0,16.2,1.2,10.1,192.6,100.8,1,41.3
1721,soya vanille joghurt alpro,yoghurt kedelai vanili alpro,21,0.6,1,0.09,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
1722,soybean curd cheese,keju dadih kedelai,340,18.2,15.5,3.6,28.1,0,0,94,159.5,0,0,6,0,0.3,1.1,0.3,0.2,0,0,1.4,11,423,12.6,513,499.5,447.8,3.9,497.4
1723,soy sauce,kecap,8,54,0.8,97,1.3,0.1,0,0.9,11.4,0,0,12,0.04,0,73,0.4,46,0.01,0,0,0,0,31,0.2,0.2,26.6,87,2.293
1724,soybean dry roasted,kedelai sangrai kering,419,20.1,30.4,0,36.8,7.5,0,77,0.7,0,0.4,0.2,0,0.7,1,0.4,0.2,4.3,0,0,76,130.2,3.7,212,603.6,1268.5,4.4,233
1725,soybean oil,minyak kedelai,120,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,64,0,48,0,0,0,95,13.67
1726,meatless chicken,ayam tanpa daging,376,21.4,6.1,0,39.7,6,0,1.2,98.9,0,0.1,0.1,68,0.4,2.4,1,1.2,0,0,4.5,0,58.8,5.5,28.6,562.8,90.7,1.2,137.5
1727,soymilk nonfat,susu kedelai rendah lemak,68,46,10.1,8.9,6,0.5,0,0.1,225.2,0.1,64,92,63,0.4,0.8,0,84,0,71,0.2,63,281.9,0.9,24.3,211.4,255.2,0.2,299.508
1728,soy flour,tepung kedelai,23,1.1,1.8,0.4,1.8,0.5,0,23,0.3,0,0,62,58,0,2,0.2,69,9,0,0,0.1,61,0.2,0.3,0.1,25.7,86,5.488
1729,soybean lecithin oil,minyak lesitin kedelai,104,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,15,0,0,0,0,0,0,13.6
1730,tofu raw,tahu mentah,188,11.9,4.7,0,20,0.7,0,0.06,209.7,0,0.2,96,0,0.1,0.5,0.2,0.1,0.2,0,0,0,868,13.3,74.4,240.6,300.1,2,918.8
1731,soy chips,keripik kedelai,109,2.1,15,0.5,7.5,1,0,0.2,2.4,0,0.02,98,0,76,0.8,0.4,0.1,0,0,0.3,48,48.4,1.5,48.1,2,2,0.4,75.5
1732,green soybean raw,kedelai hijau mentah,376,17.4,28.3,0,33.2,10.8,0,17,172.8,0,1.1,0.4,0,0.4,4.2,0.4,0.2,74.2,0,0,0,504.3,9.1,166.4,496.6,1587.2,2.5,677.3
1733,soy proteins concentrate,konsentrat protein kedelai,93,0.1,7.2,0,18,1.6,0,0.3,1.6,0,76,87,0,78,0.2,7,15,0,0,0,0,102.7,3.1,39.6,237.4,127.4,1.2,132.7
